,Cyc Num,Speed(knots)
0,1,20
1,1,25
2,1,25
3,1,25
4,1,25
5,1,30
6,1,30
7,1,30
8,1,25
9,1,25
10,1,25
11,1,25
12,1,20
13,2,40
14,2,40
15,2,40
16,2,50
17,2,55
18,2,55
19,2,60
20,2,75
21,2,80
22,2,85
23,2,85
24,2,85
25,2,85
26,2,85
27,2,85
28,2,85
29,2,85
30,2,75
31,2,70
32,2,70
33,2,70
34,2,60
35,2,55
36,2,50
37,2,50
38,3,55
39,3,55
40,3,55
41,3,50
42,3,50
43,3,50
44,3,50
45,3,40
46,3,40
47,3,45
48,3,50
49,3,50
50,3,50
51,3,55
52,3,55
53,3,60
54,3,65
55,3,70
56,3,70
57,3,80
58,3,80
59,3,75
60,3,70
61,3,65
62,3,65
63,3,60
64,3,55
65,3,50
66,3,50
67,3,50
68,3,50
69,3,50
70,3,50
71,4,45
72,4,40
73,4,35
74,7,20
75,7,20
76,7,20
77,7,20
78,7,25
79,7,25
80,7,25
81,7,25
82,7,30
83,7,30
84,7,35
85,7,35
86,7,40
87,7,40
88,7,45
89,7,45
90,7,40
91,7,40
92,7,40
93,7,40
94,7,35
95,7,35
96,7,30
97,7,30
98,7,30
99,7,30
100,7,25
101,8,20
102,8,25
103,8,25
104,8,25
105,8,25
106,8,25
107,8,30
108,8,30
109,8,35
110,8,35
111,8,35
112,8,35
113,8,40
114,8,45
115,8,55
116,8,60
117,8,65
118,8,70
119,8,75
120,8,80
121,8,85
122,8,90
123,8,95
124,8,100
125,8,105
126,8,110
127,8,115
128,8,120
129,8,120
130,8,115
131,8,110
132,8,110
133,8,115
134,8,115
135,8,115
136,8,115
137,8,110
138,8,105
139,8,100
140,8,95
141,8,90
142,8,85
143,8,80
144,8,70
145,8,65
146,8,65
147,8,60
148,8,60
149,8,55
150,8,50
151,8,45
152,8,45
153,8,40
154,8,40
155,8,35
156,8,35
157,8,30
158,8,30
159,8,25
160,8,25
161,8,25
162,9,20
163,9,20
164,9,25
165,9,25
166,9,30
167,9,30
168,9,30
169,9,35
170,9,35
171,9,35
172,9,35
173,9,35
174,9,35
175,9,35
176,9,30
177,9,30
178,9,25
179,9,25
180,9,25
181,10,30
182,10,30
183,10,35
184,10,35
185,10,40
186,10,40
187,10,45
188,10,45
189,10,50
190,10,50
191,10,50
192,10,50
193,10,45
194,10,45
195,10,45
196,10,45
197,10,40
198,10,40
199,10,35
200,10,35
201,10,30
202,11,25
203,11,25
204,11,25
205,11,25
206,11,30
207,11,30
208,11,35
209,11,35
210,11,40
211,11,40
212,11,40
213,11,40
214,11,35
215,11,35
216,11,30
217,12,50
218,12,50
219,12,50
220,12,50
221,12,50
222,12,45
223,12,40
224,12,40
225,12,40
226,13,20
227,13,20
228,13,25
229,13,30
230,13,35
231,13,35
232,13,30
233,13,30
234,13,30
235,13,30
236,13,25
237,13,20
238,13,15
239,16,20
240,16,20
241,16,25
242,16,25
243,16,30
244,16,30
245,16,30
246,16,30
247,16,35
248,16,35
249,16,35
250,16,35
251,16,40
252,16,40
253,16,45
254,16,45
255,16,40
256,16,30
257,16,20
258,16,20
259,16,25
260,16,30
261,16,30
262,16,30
263,16,30
264,16,30
265,16,30
266,16,30
267,16,25
268,16,20
269,16,15
270,17,25
271,17,25
272,17,25
273,17,25
274,17,30
275,17,30
276,17,35
277,17,30
278,17,25
279,17,20
280,17,20
281,19,20
282,19,25
283,19,25
284,19,25
285,19,25
286,19,25
287,19,30
288,19,30
289,19,35
290,19,35
291,19,35
292,19,35
293,19,30
294,19,30
295,19,25
296,19,25
297,19,20
298,20,25
299,20,25
300,20,30
301,20,35
302,20,40
303,20,45
304,20,45
305,20,45
306,20,40
307,20,35
308,20,30
309,20,25
310,20,25
311,21,25
312,21,25
313,21,30
314,21,30
315,21,35
316,21,35
317,21,35
318,21,35
319,21,40
320,21,40
321,21,40
322,21,40
323,21,35
324,21,35
325,21,30
326,21,30
327,21,30
328,21,30
329,21,35
330,21,35
331,21,40
332,21,45
333,21,50
334,21,55
335,21,60
336,21,65
337,21,65
338,21,60
339,21,50
340,21,45
341,21,40
342,21,40
343,21,35
344,21,30
345,21,25
346,23,20
347,23,25
348,23,25
349,23,25
350,23,25
351,23,25
352,23,25
353,23,25
354,23,30
355,23,35
356,23,40
357,23,40
358,23,40
359,23,35
360,23,30
361,23,25
362,23,25
363,23,25
364,23,25
365,24,25
366,24,30
367,24,35
368,24,40
369,24,45
370,24,50
371,24,55
372,24,65
373,24,70
374,24,70
375,24,60
376,24,45
377,24,35
378,24,35
379,24,40
380,24,45
381,24,50
382,24,50
383,24,55
384,24,55
385,24,60
386,24,60
387,24,65
388,24,70
389,24,70
390,24,70
391,24,70
392,24,70
393,24,70
394,24,70
395,24,70
396,24,70
397,24,70
398,24,75
399,24,75
400,24,70
401,24,65
402,24,60
403,24,50
404,27,20
405,27,25
406,27,25
407,27,25
408,27,25
409,27,25
410,27,30
411,27,35
412,27,40
413,27,45
414,27,50
415,27,55
416,27,60
417,27,65
418,27,70
419,27,75
420,27,80
421,27,85
422,27,85
423,27,85
424,27,90
425,27,90
426,27,95
427,27,95
428,27,100
429,27,100
430,27,95
431,27,90
432,27,85
433,27,80
434,27,75
435,27,70
436,27,65
437,27,60
438,27,55
439,27,45
440,27,35
441,1,30
442,1,30
443,1,30
444,1,30
445,1,30
446,1,30
447,1,25
448,1,25
449,1,25
450,4,25
451,4,20
452,4,20
453,4,20
454,4,20
455,4,20
456,4,25
457,4,25
458,4,30
459,4,30
460,4,35
461,4,40
462,4,45
463,4,50
464,4,55
465,4,60
466,4,65
467,4,65
468,4,65
469,4,65
470,4,60
471,4,60
472,4,55
473,4,50
474,4,45
475,4,40
476,4,30
477,6,20
478,6,25
479,6,25
480,6,25
481,6,25
482,6,25
483,6,25
484,6,25
485,6,25
486,6,25
487,6,25
488,6,25
489,6,25
490,6,25
491,6,30
492,6,30
493,6,35
494,6,40
495,6,45
496,6,45
497,6,50
498,6,50
499,6,55
500,6,55
501,6,60
502,6,60
503,6,65
504,6,65
505,6,65
506,6,65
507,6,60
508,6,55
509,6,45
510,6,40
511,6,35
512,6,30
513,6,30
514,7,25
515,7,25
516,7,25
517,7,30
518,7,30
519,7,30
520,7,30
521,7,30
522,7,30
523,7,30
524,7,30
525,7,35
526,7,45
527,7,50
528,7,55
529,7,65
530,7,75
531,7,80
532,7,80
533,7,80
534,7,80
535,7,75
536,7,65
537,7,50
538,7,40
539,7,35
540,7,30
541,8,25
542,8,25
543,8,25
544,8,30
545,8,35
546,8,40
547,8,45
548,8,50
549,8,60
550,8,65
551,8,65
552,8,65
553,8,60
554,8,60
555,8,55
556,8,50
557,8,45
558,8,45
559,8,40
560,8,40
561,8,35
562,8,35
563,8,30
564,8,30
565,8,25
566,8,25
567,8,25
568,11,25
569,11,25
570,11,30
571,11,30
572,11,35
573,11,35
574,11,35
575,11,35
576,11,30
577,11,30
578,11,30
579,11,30
580,11,25
581,16,25
582,16,25
583,16,30
584,16,30
585,16,35
586,16,35
587,16,40
588,16,40
589,16,45
590,16,45
591,16,50
592,16,55
593,16,55
594,16,55
595,16,55
596,16,55
597,16,55
598,16,50
599,16,45
600,17,30
601,20,20
602,20,20
603,20,20
604,20,20
605,20,25
606,20,25
607,20,30
608,20,30
609,20,35
610,20,40
611,20,50
612,20,50
613,20,55
614,20,55
615,20,60
616,20,55
617,20,50
618,20,50
619,20,55
620,20,50
621,20,35
622,22,30
623,22,32
624,22,35
625,22,37
626,22,40
627,22,42
628,22,45
629,22,45
630,22,45
631,22,46
632,22,50
633,22,62
634,22,60
635,22,55
636,22,50
637,22,43
638,22,34
639,23,20
640,23,20
641,23,20
642,23,20
643,23,25
644,23,25
645,23,25
646,23,25
647,23,30
648,23,30
649,23,30
650,23,30
651,23,35
652,23,35
653,23,35
654,23,35
655,23,40
656,23,45
657,23,50
658,23,50
659,23,50
660,23,50
661,23,50
662,23,50
663,23,55
664,23,60
665,23,60
666,23,60
667,23,60
668,23,60
669,23,60
670,23,60
671,23,55
672,23,55
673,23,50
674,23,50
675,23,45
676,23,45
677,23,40
678,23,40
679,23,35
680,23,35
681,23,30
682,24,25
683,24,25
684,24,30
685,24,35
686,24,40
687,24,45
688,24,50
689,24,55
690,24,55
691,24,55
692,24,50
693,24,50
694,24,45
695,24,45
696,24,40
697,24,40
698,24,35
699,24,35
700,24,30
701,1,25
702,1,30
703,1,30
704,1,30
705,1,30
706,1,35
707,1,35
708,1,35
709,1,35
710,1,35
711,1,35
712,1,35
713,1,30
714,1,30
715,1,30
716,1,30
717,1,25
718,2,30
719,2,30
720,2,35
721,2,35
722,2,40
723,2,40
724,2,45
725,2,50
726,2,55
727,2,55
728,2,60
729,2,60
730,2,65
731,2,65
732,2,65
733,2,65
734,2,70
735,2,70
736,2,65
737,2,55
738,2,50
739,2,50
740,2,45
741,2,40
742,2,35
743,2,30
744,2,20
745,3,35
746,3,35
747,3,40
748,3,40
749,3,45
750,3,45
751,3,50
752,3,55
753,3,60
754,3,65
755,3,65
756,3,65
757,3,65
758,3,70
759,3,70
760,3,70
761,3,65
762,3,65
763,3,60
764,3,55
765,3,45
766,3,45
767,3,40
768,3,35
769,3,30
770,4,25
771,4,25
772,4,25
773,4,25
774,4,25
775,4,25
776,4,25
777,4,25
778,4,30
779,4,30
780,4,35
781,4,35
782,4,30
783,4,30
784,4,30
785,4,30
786,4,25
787,5,20
788,5,20
789,5,25
790,5,25
791,5,30
792,5,30
793,5,30
794,5,30
795,5,35
796,5,35
797,5,40
798,5,40
799,5,45
800,5,45
801,5,45
802,5,45
803,5,40
804,5,40
805,5,35
806,5,35
807,5,30
808,5,30
809,5,25
810,6,25
811,6,30
812,6,35
813,6,40
814,6,45
815,6,50
816,6,55
817,6,60
818,6,65
819,6,70
820,6,70
821,6,65
822,6,50
823,7,30
824,7,35
825,7,40
826,7,45
827,7,50
828,7,60
829,7,75
830,7,75
831,7,75
832,7,85
833,7,95
834,7,95
835,7,100
836,7,100
837,7,105
838,7,110
839,7,115
840,7,120
841,7,125
842,7,130
843,7,125
844,7,120
845,7,115
846,7,110
847,7,105
848,7,100
849,7,100
850,7,65
851,7,30
852,7,30
853,7,25
854,7,25
855,7,20
856,7,25
857,7,35
858,7,40
859,7,45
860,7,40
861,7,35
862,7,35
863,7,30
864,7,30
865,7,25
866,9,25
867,9,25
868,9,30
869,9,30
870,9,35
871,9,35
872,9,40
873,9,40
874,9,45
875,9,50
876,9,55
877,9,60
878,9,65
879,9,75
880,9,80
881,9,80
882,9,85
883,9,90
884,9,90
885,9,90
886,9,90
887,9,90
888,9,90
889,9,90
890,9,85
891,9,85
892,9,80
893,9,80
894,9,75
895,9,65
896,9,55
897,9,50
898,9,45
899,9,40
900,9,30
901,10,30
902,10,30
903,10,35
904,10,40
905,10,45
906,10,40
907,10,35
908,10,35
909,10,30
910,10,25
911,10,25
912,10,25
913,10,25
914,10,25
915,10,25
916,12,25
917,12,25
918,12,25
919,12,25
920,12,30
921,12,30
922,12,30
923,12,30
924,12,35
925,12,35
926,12,40
927,12,40
928,12,35
929,12,35
930,12,40
931,12,45
932,12,45
933,12,45
934,12,45
935,12,45
936,12,45
937,12,45
938,12,40
939,12,40
940,12,35
941,12,30
942,12,25
943,12,20
944,12,20
945,12,20
946,12,20
947,14,35
948,14,40
949,14,45
950,14,50
951,14,50
952,14,50
953,14,45
954,14,45
955,14,40
956,14,40
957,14,35
958,14,35
959,14,35
960,14,30
961,14,30
962,14,30
963,14,30
964,14,30
965,14,30
966,14,30
967,14,30
968,14,30
969,14,35
970,14,35
971,14,40
972,14,45
973,14,45
974,14,45
975,14,45
976,14,45
977,14,45
978,14,45
979,14,50
980,14,50
981,14,55
982,14,55
983,14,55
984,14,55
985,14,50
986,14,45
987,14,40
988,14,35
989,14,30
990,15,25
991,15,25
992,15,25
993,15,25
994,15,25
995,15,25
996,15,30
997,15,30
998,15,35
999,15,35
1000,15,30
1001,15,30
1002,15,30
1003,15,30
